Airline Name,inflight_service_sentiment,cancellation_luggage_sentiment,delay_sentiment,crew_meal_sentiment,boarding_sentiment
Air Mediterranee,-0.09440287392112502,-0.14479387800000001,-0.185372596574099,0.3606562051002993,0.03300151896230248
Air Memphis,-0.06327243588331864,0.0,-0.08367182754835369,0.000414514040987532,0.017325422543028556
Air Moldova,0.13087015781773528,-0.13512331228171212,-0.09252152715703028,0.009648828373250562,-0.0046265927196975296
Air Montenegro,-0.10854019188065844,-0.11369157739185154,-0.39819710586066875,0.2297767847776413,0.0
Air Namibia,0.025022567575966548,-0.0728356642376403,-0.04369798657953569,0.170451751671019,-0.002957954170554631
Air New Zealand,-0.02055876048316672,-0.22231938587113245,-0.09797504449570962,0.030851661332731282,-0.034185171067128935
Air Niugini,0.09659159479907839,-0.05454681393325174,-0.08703775923648155,0.050940348769706545,-0.05040779983816666
Air North Yukon's Airline,0.20651106911264933,0.06538070198349785,0.0,0.36798174485952284,0.03719242699808708
Air Nostrum,0.1854943364281536,-0.003600226142692459,-0.023589336981650246,0.17075057714343445,0.01871205826043697
Air Panama,0.0,-0.2224944723613908,0.011127127699901882,0.016816470210182594,-0.13494166047872996
Air Pegasus,0.0,-0.22035646035843953,-0.009907488079945459,0.24054393175,0.0
Air Premia,0.13515722194158603,0.0,0.0,0.10880766700227906,0.05779091672869146
Air Rarotonga,0.0,0.0,0.32527559995651245,0.3017957892187488,0.3387102400387381
Air Senegal,-0.16610343520554124,0.0,-0.5794320874938148,0.0,0.0
Air Serbia,-0.007540238129214025,-0.2891819483871598,-0.30045543188693147,-0.01130043365387974,0.005422452127167973
Air Seychelles,0.055362010162211296,-0.08472988163850007,-0.07872881351808877,-0.038020961740601204,-0.10236606103068928
Air Tahiti Nui,-0.0823212380334629,-0.12909606564694656,-0.051212284392619496,-0.023142040975437227,-0.06065841361606032
Air Tanzania,-0.0004125230369476944,-0.3052970834010536,-0.2903561644725841,-0.03172948843543752,-0.05222224676514155
Air Transat,-0.04133251862492757,-0.2637065309716416,-0.10305652847061182,-0.054091124992771154,-0.03218407304502357
Air Zimbabwe,0.03906503394772288,-0.14102734393328242,-0.10262258975452625,0.06835569643263008,0.010327212426565173
AirAsia,0.05166807026482026,-0.21205266781089635,-0.11233947545730798,0.013759083753083115,-0.05107200617322873
AirAsia India,0.04498808916511488,-0.11337256666238715,-0.113119357518416,-0.002363531313291662,0.03645667852441114
AirAsia Philippines,0.024095627340135647,-0.2337248951067269,-0.22143698486226707,-0.01616232751572611,-0.09431654789206488
